,SHAP_Importance,Percentage
days_since_launch,0.79325837,0.36079973
days_since_last_played,0.41889882,0.19052882
language_cleaned,0.2646945,0.12039168
playtime_hours,0.2051447,0.09330649
num_games_owned,0.15711492,0.071460985
price_usd,0.09361448,0.042578913
time_since_update,0.08534374,0.03881711
num_reviews,0.07715959,0.035094693
review_hour,0.035535336,0.016162628
steam_purchase,0.024194967,0.011004659
review_updated,0.014379883,0.006540439
review_weekday,0.010840181,0.0049304673
log_price,0.009470702,0.004307584
received_for_free,0.008900359,0.0040481733
is_sale,6.0509887e-05,2.7521866e-05
